1,2,0,0,0
1,3,0,0,0
2,2,16,16,4
2,3,0,0,4
4,2,42,42,16
4,3,188,188,15
16,2,1108,1108,216
16,3,286,286,203
32,2,1813,1813,882
32,3,338,338,855
